keyword_index	keyword	encoded_keyword	search_url	topic	intent	priority	platform_sensitive	recommended_for_kuaishou	source_count
1	虚拟专用网络	%E8%99%9A%E6%8B%9F%E4%B8%93%E7%94%A8%E7%BD%91%E7%BB%9C	https://www.kuaishou.com/search/%E8%99%9A%E6%8B%9F%E4%B8%93%E7%94%A8%E7%BD%91%E7%BB%9C	VPN核心	泛需求	A	false	true	5
2	跨境专线	%E8%B7%A8%E5%A2%83%E4%B8%93%E7%BA%BF	https://www.kuaishou.com/search/%E8%B7%A8%E5%A2%83%E4%B8%93%E7%BA%BF	跨境与海外网络	跨境外贸	A	false	true	5
3	ipsec vpn	ipsec%20vpn	https://www.kuaishou.com/search/ipsec%20vpn	VPN协议与技术	代理与IP	A	false	true	4
4	openvpn	openvpn	https://www.kuaishou.com/search/openvpn	VPN协议与技术	泛需求	A	false	true	4
5	tiktok网络	tiktok%E7%BD%91%E7%BB%9C	https://www.kuaishou.com/search/tiktok%E7%BD%91%E7%BB%9C	跨境与海外网络	跨境外贸	A	false	true	4
6	vpn	vpn	https://www.kuaishou.com/search/vpn	VPN核心	泛需求	A	false	true	4
7	vpn下载	vpn%E4%B8%8B%E8%BD%BD	https://www.kuaishou.com/search/vpn%E4%B8%8B%E8%BD%BD	VPN核心	下载安装	A	false	true	4
8	vpn免费	vpn%E5%85%8D%E8%B4%B9	https://www.kuaishou.com/search/vpn%E5%85%8D%E8%B4%B9	VPN核心	泛需求	A	false	true	4
9	vpn加速器	vpn%E5%8A%A0%E9%80%9F%E5%99%A8	https://www.kuaishou.com/search/vpn%E5%8A%A0%E9%80%9F%E5%99%A8	VPN核心	泛需求	A	false	true	4
10	vpn协议	vpn%E5%8D%8F%E8%AE%AE	https://www.kuaishou.com/search/vpn%E5%8D%8F%E8%AE%AE	VPN协议与技术	科普原理	A	false	true	4
11	vpn安全吗	vpn%E5%AE%89%E5%85%A8%E5%90%97	https://www.kuaishou.com/search/vpn%E5%AE%89%E5%85%A8%E5%90%97	VPN核心	科普原理	A	false	true	4
12	vpn安卓	vpn%E5%AE%89%E5%8D%93	https://www.kuaishou.com/search/vpn%E5%AE%89%E5%8D%93	VPN核心	下载安装	A	false	true	4
13	vpn客户端	vpn%E5%AE%A2%E6%88%B7%E7%AB%AF	https://www.kuaishou.com/search/vpn%E5%AE%A2%E6%88%B7%E7%AB%AF	VPN核心	下载安装	A	false	true	4
14	vpn怎么用	vpn%E6%80%8E%E4%B9%88%E7%94%A8	https://www.kuaishou.com/search/vpn%E6%80%8E%E4%B9%88%E7%94%A8	VPN核心	配置排障	A	false	true	4
15	vpn手机	vpn%E6%89%8B%E6%9C%BA	https://www.kuaishou.com/search/vpn%E6%89%8B%E6%9C%BA	VPN核心	下载安装	A	false	true	4
16	vpn是什么	vpn%E6%98%AF%E4%BB%80%E4%B9%88	https://www.kuaishou.com/search/vpn%E6%98%AF%E4%BB%80%E4%B9%88	VPN核心	科普原理	A	false	true	4
17	vpn服务器	vpn%E6%9C%8D%E5%8A%A1%E5%99%A8	https://www.kuaishou.com/search/vpn%E6%9C%8D%E5%8A%A1%E5%99%A8	VPN核心	泛需求	A	false	true	4
18	vpn电脑	vpn%E7%94%B5%E8%84%91	https://www.kuaishou.com/search/vpn%E7%94%B5%E8%84%91	VPN核心	下载安装	A	false	true	4
19	vpn节点	vpn%E8%8A%82%E7%82%B9	https://www.kuaishou.com/search/vpn%E8%8A%82%E7%82%B9	VPN核心	代理与IP	A	true	true	4
20	vpn苹果	vpn%E8%8B%B9%E6%9E%9C	https://www.kuaishou.com/search/vpn%E8%8B%B9%E6%9E%9C	VPN核心	下载安装	A	false	true	4
21	vpn设置	vpn%E8%AE%BE%E7%BD%AE	https://www.kuaishou.com/search/vpn%E8%AE%BE%E7%BD%AE	VPN核心	配置排障	A	false	true	4
22	vpn路由器	vpn%E8%B7%AF%E7%94%B1%E5%99%A8	https://www.kuaishou.com/search/vpn%E8%B7%AF%E7%94%B1%E5%99%A8	VPN核心	泛需求	A	false	true	4
23	vpn软件	vpn%E8%BD%AF%E4%BB%B6	https://www.kuaishou.com/search/vpn%E8%BD%AF%E4%BB%B6	VPN核心	下载安装	A	false	true	4
